Bitwa,Rok,Zwycięzca,Liczebność
Bitwa pod Kunowicami,1759,,
Bitwy II wojny światowej z udziałem Polski,2024,,
Bitwy powstania Chmielnickiego,1651,,
Bitwy konfederacji tarnogrodzkiej,1716,,
Bitwy Legionów Polskich 1914–1918,1914,,
Bitwy morskie w historii Polski,1571,,
Bitwy wojny polsko-austriackiej 1809,1809,,
Bitwy i boje wojny polsko-bolszewickiej,1920,,
Bitwy wojny polsko-rosyjskiej 1577–1582,1577,,
Bitwy wojny polsko-rosyjskiej 1609–1618,1609,,
Bitwy wojny polsko-rosyjskiej (1632–1634),1632,,
Bitwy wojny polsko-rosyjskiej (1654–1667),1654,,
Bitwy wojny polsko-rosyjskiej 1792,1792,,
Bitwy wojny polsko-szwedzkiej (1600–1611),1600,,
Bitwy wojny polsko-szwedzkiej 1626–1629,1626,,
Bitwy wojen polsko-tureckich,1485,,
Bitwy potopu szwedzkiego,1657,,
Bitwy polskich powstań,1848,,
Bitwy wojny o sukcesję polską,1734,,
Średniowieczne bitwy w historii Polski,1514,,
Polskie Termopile,1863,,
Małe Verdun,1939,,
Bitwa pod Al-Fau,2003,zwycięstwo koalicji,
Bitwa pod Albuerą,2011,nierozstrzygnięta; taktyczne zwycięstwo koalicji (powstrzymanie marszu na odsiecz Badajoz ),
Bitwa pod Almonacid de Toledo,1809,zwycięstwo francuskie,
Bitwa na Antokolu,1812,Decydujące zwycięstwo francusko-polskie,
Bitwa pod Arcis-sur-Aube,1875,nierozstrzygnięta,
Bitwa nad Berezyną (1812),1812,"taktyczne zwycięstwo Rosjan, wojska Napoleona I wycofują się",
Bitwa pod Białą Cerkwią (1626),1626,wygrana Polaków,
Bitwa pod Białą Cerkwią (1612),1612,zwycięstwo Kozaków zaporoskich,
Bitwa nad Jaramą,1937,zatrzymanie frankistowskiej ofensywy,
Bitwa o Belchite,1937,taktyczne zwycięstwo republiki,
Bitwa pod Bojanem,1683,bitwa nierozstrzygnieta,
Bitwa pod Giedrojciami,1920,Zwycięstwo Litwinów Podpisanie Traktatu w Kownie,
Bitwa pod Huescą,1937,,
Bitwa pod Krasnem (1450),1450,,
Bitwa pod Sasowym Rogiem (1633),1633,zwycięstwo Rzeczypospolitej,
Bitwa pod Skoczowem,1919,militarnie nierozstrzygnięta; utrzymanie się polskiej obrony na drodze do Bielska,
Bitwa pod Słonimem (1764),1764,,
Bitwa pod Błoniem (1770),1770,przegrana konfederatów,
Obrona Bogumina,1919,wycofanie się Polaków,
Bitwa pod Borodino,1812,zwycięstwo Francuzów,
Bitwa pod Borysowem,1812,"Zwycięstwo Rosjan, zdobycie mostu",
Bitwa pod Bracławiem,1671,,
Bitwa pod Bukowem,1600,zwycięstwo Rzeczypospolitej,
Bitwa pod Byczyną,1588,zwycięstwo Rzeczypospolitej,
Bitwa pod Carowym Zajmiszczem,1609,zdecydowane zwycięstwo Polaków,
Bitwa pod Castelfranco,1805,,
Bitwa pod Cecorą (1595),1595,"wygrana Polaków, pokój i wycofanie Turków z Mołdawii",
Bitwa pod Cecorą (1620),1620,wygrana sił turecko-tatarskich,
